,address,latitude,link,longitude,name,price,tags,isGluten
40,40 Brattle St,42.37361,/restaurants/alden-harlow/,-71.12121,Alden &amp; Harlow,$$$,"setTargeting('cuisine', ['american-new', 'small-plates-tapas']);",0
41,1252\u002D54 Washington St,42.342398,/restaurants/alex-pizza-grill/,-71.067412,Alex Pizza &amp; Grill,$$,"setTargeting('cuisine', ['pizza', 'greek']);",0
42,358 Centre St,42.322354,/restaurants/alexs-chimis/,-71.107925,Alex's Chimis,$,"setTargeting('cuisine', ['puerto-rican-dominican', 'latin-american']);",0
43,229 Brighton Ave,42.353397,/restaurants/alfredos/,-71.136097,Alfredo's,$$,"setTargeting('cuisine', ['italian', 'sandwiches']);",0
44,691 Cambridge St,42.372233,/restaurants/alfredos-italian-kitchen/,-71.088102,Alfredo's Italian Kitchen,$$$,"setTargeting('cuisine', ['italian', 'pizza', 'sandwiches']);",0
45,40 Brattle St,42.373784,/restaurants/algiers-coffee-house/,-71.121363,Algiers Coffee House,$$$,"setTargeting('cuisine', ['cafes-coffeehouses', 'mediterranean']);",0
46,145 E Berkeley St,42.343613,/restaurants/ali-baba/,-71.064816,Ali Baba,$$,"setTargeting('cuisine', ['turkish']);",0
47,215 Charles St,42.361748,/restaurants/alibi/,-71.071005,Alibi,$$,"setTargeting('cuisine', ['american-traditional', 'pizza', 'cocktails']);",0
48,269 Putnam Ave,42.362842,/restaurants/alive-kicking/,-71.113851,Alive &amp; Kicking,$$$,"setTargeting('cuisine', ['seafood', 'new-england']);",0
49,1238 Cambridge St,42.37326,/restaurants/all-star-pizza-bar/,-71.098057,All Star Pizza Bar,$$,"setTargeting('cuisine', ['pizza']);",0
50,1245 Cambridge St,42.373428,/restaurants/all-star-sandwich-bar/,-71.098552,All Star Sandwich Bar,$$,"setTargeting('cuisine', ['sandwiches']);",0
51,431 Cambridge St,42.354794,/restaurants/allston-diner/,-71.134731,Allston Diner,$$,"setTargeting('cuisine', ['american-traditional', 'southern-soul', 'vegetarian-friendly', 'vegan']);",0
52,2 Brighton Ave,42.352179,/restaurants/allston-village-pizza-grill/,-71.125167,Allston Village Pizza &amp; Grill,$,"setTargeting('cuisine', ['pizza', 'sandwiches']);",0
53,63 Union Sq,42.379827,/restaurants/aman-palace/,-71.095422,Aman Palace,$$,"setTargeting('cuisine', ['indian', 'vegetarian-friendly']);",0
54,309 Huntington Ave,42.341203,/restaurants/amelias-taqueria-2/,-71.087463,Amelia's Taqueria,$$,"setTargeting('cuisine', ['mexican']);",0
55,180 Brighton Ave,42.353057,/restaurants/amelias-taqueria/,-71.13364,Amelia's Taqueria,$,"setTargeting('cuisine', ['mexican']);",0
56,111 Harvard St,42.365022,/restaurants/amelias-trattoria/,-71.093088,Amelia's Trattoria,$$$$,"setTargeting('cuisine', ['italian']);",0
57,39 1st Ave,42.375632,/restaurants/american-bakers-cafe/,-71.053501,American Bakers' Cafe,$,"setTargeting('cuisine', ['sandwiches', 'bakeries', 'cafes-coffeehouses']);",0
58,294 Faneuil Hall Marketplace,42.360669,/restaurants/ames-plow-tavern/,-71.054463,Ames Plow Tavern,$$,"setTargeting('cuisine', ['american-traditional', 'bar-food', 'pizza']);",0
59,73 Ames St,42.362512,/restaurants/ames-street-deli/,-71.08819,Ames Street Deli,$$,"setTargeting('cuisine', ['american-new', 'delis', 'sandwiches']);",0
60,111 N Washington St,42.365596,/restaurants/amici/,-71.058129,Amici,$$,"setTargeting('cuisine', ['italian']);",0
61,248 Elm St,42.395395,/restaurants/amsterdam-falafelshop/,-71.121898,Amsterdam Falafelshop,$,"setTargeting('cuisine', ['middle-eastern', 'vegetarian-friendly']);",0
62,31 India St,42.358411,/restaurants/an-tain/,-71.053259,An Tain,$$,"setTargeting('cuisine', ['irish']);",0
63,433 Columbus Ave,42.343822,/restaurants/anchovies/,-71.077945,Anchovies,$$$,"setTargeting('cuisine', ['italian']);",0
