names,links,addresses,longitude,latitude,price,type,isHealthy,new_pred,health_color
Alibi,/restaurants/alibi/,215 Charles St,42.361748,-71.071005,$$,"american-traditional', 'pizza', 'cocktails",0,0.11,yellow
Alive & Kicking,/restaurants/alive-kicking/,269 Putnam Ave,42.362842,-71.113851,$$$,"seafood', 'new-england",0,0.212,yellow
All Star Pizza Bar,/restaurants/all-star-pizza-bar/,1238 Cambridge St,42.37326,-71.098057,$$,pizza,0,0.074,yellow
All Star Sandwich Bar,/restaurants/all-star-sandwich-bar/,1245 Cambridge St,42.373428,-71.098552,$$,sandwiches,1,0.314,green
Allston Diner,/restaurants/allston-diner/,431 Cambridge St,42.354794,-71.134731,$$,"american-traditional', 'southern-soul', 'vegetarian-friendly', 'vegan",1,0.752,green
Allston Village Pizza & Grill,/restaurants/allston-village-pizza-grill/,2 Brighton Ave,42.352179,-71.125167,$,"pizza', 'sandwiches",0,0.218,yellow
Aman Palace,/restaurants/aman-palace/,63 Union Sq,42.379827,-71.095422,$$,"indian', 'vegetarian-friendly",1,0.726,green
Amelia's Taqueria,/restaurants/amelias-taqueria-2/,309 Huntington Ave,42.341203,-71.087463,$$,mexican,0,0.13,yellow
Amelia's Taqueria,/restaurants/amelias-taqueria/,180 Brighton Ave,42.353057,-71.13364,$,mexican,0,0.106,yellow
Amelia's Trattoria,/restaurants/amelias-trattoria/,111 Harvard St,42.365022,-71.093088,$$$$,italian,0,0.038,red
American Bakers' Cafe,/restaurants/american-bakers-cafe/,39 1st Ave,42.375632,-71.053501,$,"sandwiches', 'bakeries', 'cafes-coffeehouses",1,0.852,green
Ames Plow Tavern,/restaurants/ames-plow-tavern/,294 Faneuil Hall Marketplace,42.360669,-71.054463,$$,"american-traditional', 'bar-food', 'pizza",0,0.128,yellow
Ames Street Deli,/restaurants/ames-street-deli/,73 Ames St,42.362512,-71.08819,$$,"american-new', 'delis', 'sandwiches",1,0.742,green
Amici,/restaurants/amici/,111 N Washington St,42.365596,-71.058129,$$,italian,0,0.036,red
Amsterdam Falafelshop,/restaurants/amsterdam-falafelshop/,248 Elm St,42.395395,-71.121898,$,"middle-eastern', 'vegetarian-friendly",1,0.372,green
An Tain,/restaurants/an-tain/,31 India St,42.358411,-71.053259,$$,irish,0,0.052,yellow
Anchovies,/restaurants/anchovies/,433 Columbus Ave,42.343822,-71.077945,$$$,italian,0,0.024,red
Andala Coffee House,/restaurants/andala-coffee-house/,286 Franklin St,42.364897,-71.105996,$,"cafes-coffeehouses', 'middle-eastern",0,0.1,yellow
Andalus Pizza & Cafe,/restaurants/andalus-pizza-cafe/,153 Sutherland Rd,42.340702,-71.1476,$$,"pizza', 'sandwiches', 'salads', 'desserts', 'delis",0,0.114,yellow
Andre's Cafe,/restaurants/andres-cafe/,811 Harrison Ave,42.335825,-71.074148,$$,"greek', 'sandwiches",1,0.774,green
Andy's Diner,/restaurants/andys-diner/,2030 Massachusetts Ave,42.390774,-71.121964,$$,"diners-coffee-shops', 'sandwiches",1,0.726,green
Angela's Cafe,/restaurants/angelas-cafe/,131 Lexington St,42.378829,-71.034967,$$$,mexican,0,0.066,yellow
Angelina's Pizzeria,/restaurants/angelinas-pizzeria/,230 Holland St,42.402443,-71.12699,$$,"pizza', 'sandwiches",0,0.058,yellow
Angelo's Pizza,/restaurants/angelos-pizza/,444 Broadway,42.373168,-71.110805,$,"pizza', 'sandwiches",0,0.19,yellow
Angora Cafe,/restaurants/angora-cafe/,1024 Commonwealth Ave,42.351779,-71.121562,$$,"health-food', 'pizza', 'sandwiches', 'middle-eastern', 'desserts",0,0.152,yellow
Angora Ice,/restaurants/angora-ice/,3-A Boylston St,42.322136,-71.169499,$,"desserts', 'cafes-coffeehouses",0,0.03,red
Anna's Taqueria,/restaurants/annas-taqueria-5/,242 Cambridge St,42.361287,-71.067235,$,mexican,0,0,red
Anna's Taqueria,/restaurants/annas-taqueria-2/,1412 Beacon St,42.341222,-71.125714,$,mexican,0,0,red
Anna's Taqueria,/restaurants/annas-taqueria/,822 Somerville Ave,42.388054,-71.118113,$,mexican,0,0.022,red
Anna's Taqueria,/restaurants/annas-taqueria-3/,446 Harvard St,42.34624,-71.12824,$,mexican,0,0,red
Anna's Taqueria,/restaurants/annas-taqueria-6/,236 Elm St,42.394956,-71.121736,$,mexican,0,0,red
Anna's Taqueria,/restaurants/annas-taqueria-4/,84 Massachusetts Ave,42.359226,-71.094084,$,mexican,0,0,red
Anthem,/restaurants/anthem/,101 S Market St,42.359898,-71.055498,$$$$,"american-new', 'american-traditional', 'cocktails",0,0.036,red
Anthony's at Adams Village,/restaurants/anthonys-at-adams-village/,789 Adams St,42.283247,-71.05595,$,other,0,0.192,yellow
Anthony's Cafe,/restaurants/anthonys-cafe/,252 Commercial St,42.364051,-71.051302,$,"sandwiches', 'italian",1,0.77,green
Antico Forno,/restaurants/antico-forno/,93 Salem St,42.363979,-71.05595,$$$$,italian,0,0.046,red
Antonio's,/restaurants/antonios/,288 Cambridge St,42.36128,-71.068686,$$$,italian,0,0.09,yellow
Anytime Pizza,/restaurants/anytime-pizza/,212 Western Ave,42.36474,-71.110738,$$$,"pizza', 'sandwiches', 'italian",0,0.206,yellow
Appleton Cafe,/restaurants/appleton-cafe/,123 Appleton St,42.3451,-71.07486,$,"sandwiches', 'bakeries', 'cafes-coffeehouses",1,0.454,green
Apropos,/restaurants/apropos/,39 Dalton St,42.346697,-71.084995,$$$$,american-traditional,0,0.118,yellow
Aquitaine,/restaurants/aquitaine/,569 Tremont St,42.343464,-71.072559,$$$$,"french', 'bistro",0,0.072,yellow
Aquitaine Bis,/restaurants/aquitaine-bis/,11 Boylston St,42.326237,-71.142633,$$$$$,"french', 'bistro",0,0.078,yellow
Aragosta Bar + Bistro,/restaurants/aragosta-bar-bistro/,3 Battery Wharf,42.366661,-71.051091,$$$$$,"american-new', 'new-england', 'italian', 'bistro",0,0.05,yellow
Aram's No 2 Pizza & Subs,/restaurants/arams-no-2-pizza-subs/,345 Cambridge St,42.371251,-71.081988,$$,pizza,0,0.152,yellow
